iter	Logloss
0	0.6740864112
1	0.6589367584
2	0.6446688934
3	0.6297832655
4	0.6161462284
5	0.6019807469
6	0.5900418395
7	0.5751270389
8	0.5703892152
9	0.5579129048
10	0.5439556194
11	0.5307976603
12	0.5224495595
13	0.5121905606
14	0.5021127229
15	0.4917166413
16	0.4816924364
17	0.4735440638
18	0.4633635278
19	0.4562811253
20	0.4474583494
21	0.439538379
22	0.4326640239
23	0.4266576757
24	0.4185393756
25	0.4121134591
26	0.4072279579
27	0.4001168661
28	0.3922502812
29	0.3859832812
30	0.3811161954
31	0.3754525121
32	0.3697288258
33	0.3655082938
34	0.3601634643
35	0.3549924264
36	0.3503197408
37	0.3478944969
38	0.3432345232
39	0.3393696125
40	0.3346295618
41	0.330938975
42	0.3269207484
43	0.3238695382
44	0.3205378496
45	0.317614352
46	0.3145561199
47	0.3114748309
48	0.3080104617
49	0.3052749913
50	0.3027984031
51	0.299875794
52	0.2971656889
53	0.2948134668
54	0.2921321938
55	0.2903756129
56	0.2877896716
57	0.2854377933
58	0.2840055779
59	0.281988142
60	0.2798569445
61	0.2775679134
62	0.2759108408
63	0.2736183336
64	0.2717797996
65	0.2700458611
66	0.2689528709
67	0.2675199866
68	0.2659320532
69	0.2648032499
70	0.2636048822
71	0.2622562707
72	0.2605618034
73	0.2597883017
74	0.2581297842
75	0.256709534
76	0.2551128671
77	0.2535222698
78	0.2524508655
79	0.2511364355
80	0.2499493628
81	0.248551263
82	0.2475218047
83	0.2463052803
84	0.2458700167
85	0.2447177219
86	0.2445250028
87	0.2435606694
88	0.2427548939
89	0.2419152131
90	0.2412109516
91	0.2403908708
92	0.239507963
93	0.2388385915
94	0.2381915465
95	0.2372186508
96	0.2364471221
97	0.2356833161
98	0.2348028412
99	0.234369908
100	0.2336971388
101	0.2328973441
102	0.2320419372
103	0.2310461942
104	0.2303078365
105	0.2297196589
106	0.2291675176
107	0.228599855
108	0.2280692008
109	0.227555446
110	0.2269852988
111	0.2260093225
112	0.2254224991
113	0.2249195947
114	0.2243642431
115	0.2238742225
116	0.2237047829
117	0.2231984999
118	0.2227319123
119	0.2223200655
120	0.2217304266
121	0.2213318669
122	0.2207947129
123	0.2203835567
124	0.2200121315
125	0.2195987921
126	0.2192186026
127	0.2188935202
128	0.2182950234
129	0.2178206883
130	0.2173021525
131	0.2169938859
132	0.2166165514
133	0.2163666026
134	0.2161044551
135	0.2158339029
136	0.2156012769
137	0.2153724097
138	0.2149933653
139	0.2147464421
140	0.2143985813
141	0.2140571892
142	0.2137118538
143	0.2133073225
144	0.2130590691
145	0.2125376513
146	0.2121843244
147	0.2118438262
148	0.2113780185
149	0.2110850487
150	0.2108742628
151	0.2107011647
152	0.2104300583
153	0.2099488275
154	0.2096029687
155	0.209408177
156	0.2090729205
157	0.2088297474
158	0.2085440307
159	0.2082373383
160	0.2079865824
161	0.2076902973
162	0.207354771
163	0.207074823
164	0.2070374665
165	0.2068114325
166	0.2067146397
167	0.2064565424
168	0.206218335
169	0.20610407
170	0.2058718299
171	0.2056947619
172	0.2054522741
173	0.2051559624
174	0.2049379528
175	0.2046066973
176	0.2045424762
177	0.2043087387
178	0.2041844796
179	0.203980365
180	0.2037338476
181	0.2036715185
182	0.2034974841
183	0.2033770028
184	0.2032162133
185	0.2030022789
186	0.2028150107
187	0.2027146502
188	0.2024390647
189	0.2023195366
190	0.2021887918
191	0.2019739154
192	0.2017597654
193	0.2014881436
194	0.2013637651
195	0.2010972957
196	0.2009419052
197	0.2007315791
198	0.2006421666
199	0.2005159937
200	0.2002452775
201	0.2000114507
202	0.1999404806
203	0.1998021748
204	0.1995770995
205	0.1994170668
206	0.1992694638
207	0.199188959
208	0.1990610135
209	0.1987538392
210	0.1984675803
211	0.1983703299
212	0.1982179838
213	0.1980579807
214	0.1979405288
215	0.197854295
216	0.1976621157
217	0.1975964059
218	0.1974502504
219	0.1972965629
220	0.1971677497
221	0.1970132296
222	0.196941347
223	0.1967577832
224	0.1966504951
225	0.1964353239
226	0.1963522963
227	0.196239214
228	0.1961642529
229	0.1960707807
230	0.1959419445
231	0.1958855955
232	0.19586982
233	0.1958535492
234	0.195763324
235	0.1955929119
236	0.1954762991
237	0.1953984559
238	0.1953220582
239	0.1951993242
240	0.1951047542
241	0.1949837704
242	0.1948380998
243	0.1947388539
244	0.1946333735
245	0.1945483349
246	0.1944586428
247	0.1943120321
248	0.1942136637
249	0.1941095186
250	0.1940420221
251	0.1939498598
252	0.1938257554
253	0.1936226469
254	0.1935348916
255	0.1933164693
256	0.1932136762
257	0.1931422624
258	0.1930342311
259	0.1929180918
260	0.1927770697
261	0.1926657731
262	0.1926266487
263	0.1924248768
264	0.1923275165
265	0.192228829
266	0.1920875591
267	0.192017958
268	0.1919716986
269	0.1918723434
270	0.1917646104
271	0.191681372
272	0.1915868108
273	0.1915345617
274	0.1913771079
275	0.1912875993
276	0.1912038207
277	0.1909896207
278	0.1908218607
279	0.190750531
280	0.1906410634
281	0.190582435
282	0.1904678234
283	0.1903944776
284	0.1902383949
285	0.1901476978
286	0.1901350982
287	0.1900121872
288	0.189961221
289	0.1899210694
290	0.1898282601
291	0.1897254369
292	0.1896113526
293	0.1894752116
294	0.1893985559
295	0.1893305943
296	0.1891683897
297	0.1891164051
298	0.189049554
299	0.1890194318
300	0.1888755857
301	0.1888026333
302	0.1886550908
303	0.1885365262
304	0.18839788
305	0.1882990534
306	0.1882462616
307	0.1881611255
308	0.1880773584
309	0.1879868724
310	0.1879212961
311	0.1878571107
312	0.18776158
313	0.1877005701
314	0.1876672332
315	0.1875864881
316	0.1874637268
317	0.1874347697
318	0.1873931436
319	0.1873229882
320	0.1872426746
321	0.1871735932
322	0.1871189907
323	0.1870508806
324	0.186988114
325	0.1869094308
326	0.186887516
327	0.1868360764
328	0.1867832774
329	0.1866942223
330	0.1866372439
331	0.186539385
332	0.1864619195
333	0.1863720269
334	0.1863350356
335	0.1862778919
336	0.1861871399
337	0.1861308706
338	0.1860881893
339	0.1859672453
340	0.185923537
341	0.1858701812
342	0.1858216187
343	0.1857925343
344	0.1857043663
345	0.1856491878
346	0.1856214512
347	0.185568968
348	0.1854862589
349	0.1854130686
350	0.1853786169
351	0.1853032276
352	0.1852320788
353	0.1850917799
354	0.185039636
355	0.1850335804
356	0.1849822137
357	0.1849130438
358	0.1848940409
359	0.1848366337
360	0.1847696765
361	0.184691191
362	0.1846074754
363	0.1845436697
364	0.1844868287
365	0.184440997
366	0.1843646271
367	0.1843314225
368	0.1842531997
369	0.1842239193
370	0.1841321445
371	0.1840898341
372	0.1840336509
373	0.1839925132
374	0.1838464733
375	0.1838101819
376	0.1837332073
377	0.1836439989
378	0.183602462
379	0.1835241064
380	0.1834956737
381	0.1834757628
382	0.1834240318
383	0.1833724302
384	0.1833056789
385	0.1832634436
386	0.1832239031
387	0.1831288669
388	0.183068177
389	0.1830459481
390	0.1829532782
391	0.1829195353
392	0.1828717861
393	0.1827856871
394	0.1827588773
395	0.1827404871
396	0.1826378636
397	0.1825846489
398	0.1825371434
399	0.1825095767
400	0.1824577119
401	0.1823940481
402	0.1823318445
403	0.1823114123
404	0.1822738511
405	0.1821715246
406	0.1821066441
407	0.1820707329
408	0.1820245545
409	0.1819180684
410	0.1818601812
411	0.1818054289
412	0.181755877
413	0.1816825884
414	0.1816280017
415	0.1815782003
416	0.1815420991
417	0.1815065534
418	0.1815008754
419	0.1814870417
420	0.1813939094
421	0.1813419898
422	0.1812674973
423	0.1812420107
424	0.1812120952
425	0.1811607325
426	0.181099891
427	0.1810706258
428	0.181023681
429	0.1809768966
430	0.180901731
431	0.1808319189
432	0.18079971
433	0.1807466676
434	0.1807095425
435	0.1806436317
436	0.1806261777
437	0.1805877657
438	0.1805611373
439	0.1804987803
440	0.180470482
441	0.1804571978
442	0.180428892
443	0.1803977184
444	0.180363604
445	0.1803283631
446	0.1802978573
447	0.180231125
448	0.18014774
449	0.1801152951
450	0.1800868246
451	0.1800557562
452	0.1799638705
453	0.1799514295
454	0.1799053157
455	0.179871501
456	0.1797962715
457	0.1797755812
458	0.1797482202
459	0.1797398603
460	0.1796332436
461	0.1795313602
462	0.1794918045
463	0.1794505935
464	0.1793235216
465	0.1792934041
466	0.1792394352
467	0.1792014149
468	0.1791574373
469	0.179128054
470	0.1790875094
471	0.1790331191
472	0.1789891054
473	0.1789603215
474	0.1789165223
475	0.1788520302
476	0.1788498379
477	0.1787996176
478	0.1787828664
479	0.1787230853
480	0.1786976005
481	0.1786865988
482	0.178663205
483	0.1786352913
484	0.1785875347
485	0.1785316004
486	0.1784937959
487	0.1784162285
488	0.1783757947
489	0.1783401073
490	0.178296194
491	0.1782638679
492	0.1782506045
493	0.1782221609
494	0.1781626474
495	0.1781176367
496	0.1780933975
497	0.1780841814
498	0.1780413909
499	0.1779808145
500	0.1779260945
501	0.1779231612
502	0.1778817009
503	0.177861096
504	0.1778330062
505	0.1778100452
506	0.1777818835
507	0.1777587227
508	0.1777587054
509	0.177737782
510	0.1776886733
511	0.177654341
512	0.1775936805
513	0.1775658749
514	0.1775257089
515	0.1775002446
516	0.177496993
517	0.177470236
518	0.1774502373
519	0.1774094941
520	0.1773849769
521	0.1773477017
522	0.1772280766
523	0.1771584675
524	0.1771256416
525	0.1770814033
526	0.1770622921
527	0.1770316775
528	0.1770079919
529	0.176985026
530	0.1769388978
531	0.1769021321
532	0.1768621379
533	0.1768377754
534	0.1768101661
535	0.1767340741
536	0.176694277
537	0.1766526506
538	0.1766223668
539	0.1766203114
540	0.1765878239
541	0.1765458283
542	0.1765202097
543	0.1765146379
544	0.1764902637
545	0.1763248065
546	0.1763145701
547	0.1762015677
548	0.1761694568
549	0.1761343364
550	0.1761088893
551	0.1760706216
552	0.1760705321
553	0.176034383
554	0.1760133632
555	0.1759767349
556	0.1759457902
557	0.1759450954
558	0.1759011609
559	0.1758512654
560	0.1758350226
561	0.1758142005
562	0.175767081
563	0.1757389276
564	0.1757117737
565	0.1756950412
566	0.1756400631
567	0.1756243421
568	0.1755829273
569	0.1755413448
570	0.1755378133
571	0.175471107
572	0.1754462936
573	0.1753429057
574	0.175280941
575	0.1752357985
576	0.1752070971
577	0.1751534913
578	0.1751164537
579	0.175094463
580	0.1750933804
